"sf__Id","sf__Error","Subject","ActivityDate","CallType","Status","OwnerId","WhoId"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktT5MIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSeyIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQz2IAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktT5rIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQxSIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktTDnIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQadIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktTDkIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQafIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","needs to sign","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000Plc1qIAB"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktTDuIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQGpIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktTEBIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","KIT","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ksTl7IAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSqtIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","KIT","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","BC completed?","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktTSrIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000TPThIIAX"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","app complete yet?","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktTHXIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-28","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRMdIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-28","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","WHERE DID HE END UP>","2025-03-28","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000TPQDAIA5"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRvfIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRvGIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRwiIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call kit","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRxXIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktPgoIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRxKIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","0035f00002G805eAAB"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRL9IAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 2","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKpIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSECIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKDIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call stay connected","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQaZIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKfIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Other","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRLJIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRJjIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKzIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQzzIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/u to schedule AI","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQxoIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call - KIT","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQytIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKSIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1 -- KIT","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKVIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call kit","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQxfIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call . KIT","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQylIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKJIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1","2025-03-29","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQyhIAE"
